country_name,country_code,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021
Aruba,ABW,0.0,0.0,55.0,100.0,101.0,103.0,121.0,2006.0,3963.0,4513.0,4845.0,5489.0,6966.0,7891.0,9443.0,10638.0,10985.0,11138.0,11730.0,14576.0,15500.0,15925.0,16354.0
Afghanistan,AFG,0.0,5.0,166.0,1827.0,15180.0,31445.0,36628.0,38248.0,39354.0,41334.0,46215.0,52330.0,55023.0,55714.0,56454.0,59745.0,71838.0,118659.0,147154.0,153220.0,155174.0,156250.0,157289.0
Angola,AGO,0.0,0.0,7.0,27.0,86.0,284.0,1148.0,2654.0,4972.0,10805.0,15139.0,17553.0,19796.0,20807.0,22311.0,26652.0,34551.0,38849.0,42777.0,47544.0,56583.0,64433.0,65168.0
Albania,ALB,0.0,0.0,243.0,773.0,1137.0,2535.0,5276.0,9513.0,13649.0,20875.0,38182.0,58316.0,78127.0,107167.0,125157.0,131085.0,132315.0,132521.0,133081.0,146387.0,170131.0,185300.0,199945.0
Andorra,AND,0.0,0.0,376.0,745.0,764.0,855.0,925.0,1176.0,2050.0,4756.0,6745.0,8049.0,9937.0,10866.0,12010.0,13232.0,13727.0,13911.0,14678.0,15033.0,15222.0,15516.0,17115.0
United Arab Emirates,ARE,4.0,21.0,664.0,12481.0,34557.0,48667.0,60506.0,70231.0,94190.0,132629.0,168860.0,207822.0,303609.0,391524.0,461444.0,520236.0,570836.0,632907.0,680858.0,718370.0,735992.0,739905.0,742041.0
Argentina,ARG,0.0,0.0,1054.0,4428.0,16851.0,64530.0,191302.0,417735.0,751001.0,1166924.0,1424533.0,1625514.0,1927239.0,2107365.0,2348821.0,2977363.0,3781784.0,4470374.0,4929764.0,5185620.0,5256902.0,5288807.0,5330748.0
Australia,AUS,9.0,25.0,4559.0,6766.0,7202.0,7920.0,17280.0,25819.0,27096.0,27595.0,27912.0,28425.0,28818.0,28978.0,29322.0,29811.0,30118.0,30643.0,34383.0,55093.0,107181.0,172030.0,211655.0
Austria,AUT,0.0,9.0,10180.0,15452.0,16731.0,17766.0,21130.0,27438.0,44813.0,104925.0,282456.0,360815.0,414398.0,459440.0,546229.0,618870.0,644815.0,650412.0,659056.0,688305.0,743095.0,830981.0,1159995.0
Azerbaijan,AZE,0.0,0.0,298.0,1804.0,5494.0,17524.0,31878.0,36435.0,40229.0,55269.0,121176.0,218700.0,230219.0,234537.0,261713.0,319109.0,333956.0,336047.0,343849.0,424891.0,483902.0,531370.0,588318.0
Burundi,BDI,0.0,0.0,2.0,11.0,63.0,170.0,387.0,445.0,508.0,585.0,688.0,818.0,1632.0,2209.0,2810.0,3995.0,4790.0,5452.0,7080.0,11994.0,17728.0,20039.0,20415.0
Belgium,BEL,0.0,1.0,12775.0,48519.0,58381.0,61427.0,68751.0,85236.0,118452.0,429229.0,577345.0,646496.0,710153.0,771511.0,882453.0,990229.0,1062001.0,1085131.0,1124715.0,1184664.0,1244954.0,1360650.0,1766035.0
Benin,BEN,0.0,0.0,9.0,64.0,232.0,1199.0,1805.0,2145.0,2357.0,2643.0,3015.0,3251.0,3893.0,5434.0,7100.0,7821.0,8058.0,8199.0,8394.0,13366.0,23890.0,24749.0,24850.0
Burkina Faso,BFA,0.0,0.0,261.0,645.0,847.0,962.0,1106.0,1368.0,2056.0,2500.0,2886.0,6707.0,10682.0,11982.0,12717.0,13310.0,13434.0,13479.0,13573.0,13777.0,14243.0,14793.0,16000.0
Bangladesh,BGD,0.0,0.0,51.0,7667.0,47153.0,145483.0,237661.0,312996.0,363479.0,407684.0,464932.0,513510.0,535139.0,546216.0,611295.0,759132.0,800540.0,913258.0,1249484.0,1500618.0,1555911.0,1569539.0,1576284.0
Bulgaria,BGR,0.0,0.0,399.0,1506.0,2513.0,4989.0,11690.0,16266.0,20833.0,52844.0,145300.0,202266.0,218748.0,247038.0,342633.0,404380.0,418577.0,421829.0,425054.0,455742.0,502162.0,602492.0,695057.0
Bahrain,BHR,0.0,41.0,567.0,3040.0,11398.0,26758.0,40982.0,51972.0,70864.0,81645.0,86956.0,92675.0,103057.0,122394.0,144445.0,176934.0,240531.0,265827.0,269186.0,272540.0,275057.0,276829.0,277690.0
Bahamas,BHS,0.0,0.0,14.0,81.0,102.0,104.0,574.0,2217.0,4123.0,6714.0,7541.0,7871.0,8174.0,8519.0,9119.0,10453.0,11796.0,12586.0,14840.0,18139.0,20984.0,22351.0,22791.0
Bosnia and Herzegovina,BIH,0.0,0.0,420.0,1757.0,2510.0,4453.0,11876.0,19964.0,27469.0,50090.0,87901.0,110985.0,121497.0,130979.0,169626.0,198461.0,204012.0,205022.0,205655.0,213853.0,234775.0,252758.0,275065.0
Belarus,BLR,0.0,1.0,152.0,14027.0,42556.0,62118.0,67808.0,71843.0,78631.0,98482.0,136647.0,194284.0,248336.0,287306.0,321807.0,358738.0,394439.0,417189.0,446040.0,481532.0,538086.0,600168.0,654718.0
Belize,BLZ,0.0,0.0,3.0,18.0,18.0,24.0,48.0,1007.0,1992.0,3487.0,5854.0,10776.0,11908.0,12293.0,12456.0,12668.0,12809.0,13251.0,14163.0,16353.0,20801.0,26798.0,30431.0
Bermuda,BMU,0.0,0.0,32.0,114.0,140.0,146.0,156.0,172.0,181.0,199.0,260.0,604.0,691.0,705.0,1217.0,2393.0,2494.0,2514.0,2553.0,2923.0,5244.0,5647.0,5748.0
Bolivia,BOL,0.0,0.0,107.0,1167.0,9982.0,33219.0,76789.0,116598.0,135311.0,141757.0,144708.0,160124.0,216835.0,249010.0,272411.0,303732.0,371279.0,439624.0,473506.0,490879.0,500445.0,513584.0,537559.0
Brazil,BRA,0.0,2.0,5717.0,87187.0,514849.0,1402041.0,2662485.0,3908272.0,4810935.0,5535605.0,6335878.0,7675973.0,9204731.0,10551259.0,12748747.0,14659011.0,16545554.0,18557141.0,19917855.0,20776870.0,21427073.0,21810855.0,22094459.0
Barbados,BRB,0.0,0.0,34.0,81.0,92.0,97.0,110.0,174.0,190.0,237.0,276.0,383.0,1545.0,3068.0,3652.0,3855.0,4017.0,4081.0,4390.0,5032.0,8381.0,17763.0,25316.0
Brunei,BRN,0.0,0.0,129.0,138.0,141.0,141.0,141.0,144.0,146.0,148.0,150.0,157.0,180.0,186.0,212.0,224.0,242.0,260.0,337.0,2712.0,7116.0,13130.0,15058.0
Bhutan,BTN,0.0,0.0,4.0,7.0,43.0,77.0,101.0,225.0,282.0,349.0,410.0,670.0,859.0,867.0,873.0,1074.0,1620.0,2100.0,2515.0,2596.0,2601.0,2621.0,2640.0
Botswana,BWA,0.0,0.0,4.0,23.0,35.0,227.0,804.0,1633.0,3172.0,6642.0,10742.0,14805.0,21293.0,28371.0,39848.0,46934.0,54973.0,69680.0,106690.0,156927.0,179220.0,186594.0,195068.0
Central African Republic,CAF,0.0,0.0,3.0,50.0,1011.0,3745.0,4608.0,4711.0,4829.0,4866.0,4913.0,4963.0,4981.0,5004.0,5161.0,6411.0,7091.0,7141.0,7151.0,11296.0,11371.0,11518.0,11708.0
Canada,CAN,4.0,21.0,9246.0,56716.0,92488.0,106029.0,118297.0,130849.0,162736.0,238191.0,382708.0,587429.0,783735.0,871243.0,989493.0,1229305.0,1389814.0,1423170.0,1438457.0,1507092.0,1631647.0,1723506.0,1800867.0
Switzerland,CHE,0.0,18.0,16605.0,29586.0,30862.0,31714.0,35232.0,42177.0,53282.0,154251.0,327072.0,452296.0,521320.0,554932.0,601124.0,659974.0,694740.0,703004.0,717665.0,779666.0,840363.0,872558.0,1014662.0
Chile,CHL,0.0,2.0,2844.0,17702.0,123550.0,279393.0,355667.0,411726.0,462991.0,510256.0,551743.0,608973.0,727109.0,824625.0,995538.0,1198245.0,1384346.0,1555902.0,1615771.0,1638675.0,1654264.0,1695048.0,1762751.0
China,CHN,9783.0,79251.0,81524.0,82874.0,83017.0,83534.0,84337.0,85058.0,85412.0,85997.0,86542.0,87071.0,89564.0,89912.0,90217.0,90671.0,91122.0,91792.0,93007.0,94898.0,96162.0,97243.0,98824.0
Cote d'Ivoire,CIV,0.0,0.0,179.0,1275.0,2833.0,9499.0,16047.0,18067.0,19724.0,20716.0,21331.0,22490.0,28399.0,32754.0,43889.0,46036.0,47292.0,48305.0,50135.0,55669.0,60253.0,61297.0,61724.0
Cameroon,CMR,0.0,0.0,193.0,1832.0,5904.0,12592.0,17255.0,19142.0,20838.0,21793.0,24445.0,26277.0,29617.0,35714.0,47669.0,72250.0,78929.0,80858.0,82064.0,83425.0,92303.0,102499.0,106794.0
Democratic Republic of Congo,COD,0.0,0.0,98.0,572.0,3070.0,7039.0,9070.0,10097.0,10659.0,11306.0,12772.0,17658.0,22771.0,25913.0,28142.0,29853.0,31651.0,40836.0,49917.0,54863.0,56937.0,57470.0,58234.0
Congo,COG,0.0,0.0,19.0,220.0,611.0,1087.0,3200.0,3979.0,5089.0,5290.0,5774.0,7107.0,7887.0,8820.0,9681.0,10678.0,11658.0,12596.0,13186.0,13588.0,14244.0,17323.0,18970.0
Colombia,COL,0.0,0.0,906.0,6507.0,29383.0,97846.0,295508.0,615094.0,829679.0,1074184.0,1316806.0,1642775.0,2094884.0,2251690.0,2406377.0,2859724.0,3406456.0,4240982.0,4785320.0,4909086.0,4957277.0,5002387.0,5069644.0
Comoros,COM,0.0,0.0,0.0,1.0,106.0,303.0,378.0,423.0,479.0,545.0,611.0,823.0,2726.0,3571.0,3696.0,3834.0,3881.0,3936.0,4028.0,4068.0,4141.0,4259.0,4501.0
Cape Verde,CPV,0.0,0.0,6.0,121.0,435.0,1227.0,2451.0,3884.0,6024.0,8793.0,10761.0,11840.0,14070.0,15400.0,17470.0,23882.0,30439.0,32457.0,33791.0,35354.0,37576.0,38215.0,38370.0
Costa Rica,CRI,0.0,0.0,347.0,719.0,1056.0,3459.0,17820.0,41287.0,75760.0,109971.0,139638.0,169321.0,193276.0,204341.0,216764.0,250991.0,318986.0,367938.0,406814.0,463726.0,532185.0,559698.0,566839.0
Cuba,CUB,0.0,0.0,186.0,1501.0,2045.0,2341.0,2608.0,4032.0,5597.0,6887.0,8284.0,11863.0,26686.0,49779.0,75263.0,106707.0,142266.0,190993.0,384596.0,652855.0,877428.0,952001.0,962486.0
Cyprus,CYP,0.0,0.0,230.0,843.0,943.0,996.0,1084.0,1487.0,1743.0,4217.0,10383.0,22346.0,31227.0,34935.0,46105.0,66202.0,73483.0,76552.0,102926.0,115310.0,120143.0,124017.0,134473.0
Czech Republic,CZE,0.0,0.0,3308.0,7682.0,9268.0,11954.0,16574.0,24618.0,70763.0,335102.0,523298.0,718661.0,984774.0,1235480.0,1532332.0,1630758.0,1661272.0,1667287.0,1673576.0,1679189.0,1691489.0,1762902.0,2150042.0
Germany,DEU,5.0,79.0,71808.0,163009.0,183410.0,195418.0,210399.0,244802.0,292913.0,531790.0,1069912.0,1746929.0,2225659.0,2450295.0,2843644.0,3405365.0,3689921.0,3736205.0,3776724.0,3965681.0,4239773.0,4607958.0,5923564.0
Djibouti,DJI,0.0,0.0,30.0,1089.0,3354.0,4682.0,5084.0,5387.0,5416.0,5561.0,5679.0,5831.0,5932.0,6066.0,8002.0,11100.0,11533.0,11602.0,11651.0,11750.0,12811.0,13478.0,13504.0
Dominica,DMA,0.0,0.0,12.0,16.0,16.0,18.0,18.0,20.0,30.0,50.0,85.0,88.0,117.0,142.0,161.0,174.0,188.0,193.0,210.0,1638.0,3481.0,4823.0,6028.0
Denmark,DNK,0.0,3.0,2860.0,9158.0,11669.0,12768.0,13789.0,16985.0,27998.0,46351.0,80481.0,163479.0,198472.0,211195.0,230603.0,250554.0,281227.0,293677.0,316807.0,345693.0,358796.0,387783.0,487401.0
Dominican Republic,DOM,0.0,0.0,1109.0,6972.0,17285.0,32568.0,69649.0,94715.0,112209.0,127018.0,143988.0,170785.0,214060.0,239617.0,252727.0,266561.0,292786.0,325221.0,341905.0,350173.0,359047.0,381667.0,407251.0
Algeria,DZA,0.0,1.0,716.0,4006.0,9394.0,13907.0,30394.0,44494.0,51530.0,57942.0,83199.0,99610.0,107339.0,113092.0,117192.0,122108.0,128913.0,139626.0,171392.0,196080.0,203359.0,206452.0,210531.0
Ecuador,ECU,0.0,0.0,2240.0,24934.0,39098.0,56432.0,85355.0,113767.0,137047.0,168192.0,192685.0,212512.0,250828.0,286155.0,328755.0,381862.0,426037.0,458504.0,487372.0,501201.0,509238.0,515859.0,526870.0
Egypt,EGY,0.0,1.0,710.0,5537.0,24985.0,68311.0,94078.0,98939.0,103198.0,107555.0,115911.0,138062.0,165951.0,182424.0,202131.0,227552.0,262650.0,281282.0,284262.0,288441.0,304524.0,331017.0,358578.0
Eritrea,ERI,0.0,0.0,15.0,39.0,39.0,203.0,279.0,319.0,375.0,463.0,577.0,1320.0,2135.0,2847.0,3285.0,3671.0,4094.0,6009.0,6547.0,6642.0,6722.0,6834.0,7358.0
Spain,ESP,0.0,45.0,95923.0,213435.0,239479.0,249271.0,288522.0,462858.0,769188.0,1185678.0,1648187.0,1928265.0,2743119.0,3188553.0,3284353.0,3524077.0,3678390.0,3808960.0,4447044.0,4855065.0,4959091.0,5011148.0,5164184.0
Estonia,EST,0.0,1.0,745.0,1689.0,1869.0,1989.0,2064.0,2375.0,3371.0,4905.0,12308.0,27990.0,44208.0,65600.0,106424.0,122019.0,129544.0,131064.0,133557.0,141956.0,156257.0,193969.0,222584.0
Ethiopia,ETH,0.0,0.0,26.0,131.0,1172.0,5846.0,17530.0,52131.0,75368.0,96169.0,110074.0,124264.0,137650.0,159072.0,206589.0,257442.0,271541.0,276174.0,280365.0,308134.0,345674.0,365167.0,371536.0
